,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
Ratcliffe,185.67518,,3.117,0.5%,3.157,0.5%,3.197,0.5%,3.247,0.5%,3.297,0.5%,3.347,0.5%,3.407,0.5%,3.467,0.5%,3.527,0.5%,3.597,0.5%,3.667,0.5%,3.727,0.5%,3.787,0.5%,3.847,0.5%,3.907,0.5%,3.967,0.5%,4.027,0.5%,4.077,0.5%,4.137,0.5%,4.197,0.5%,4.257,0.5%,4.297,0.5%,4.347,0.5%,4.397,0.5%,4.437,0.5%,4.487,0.5%,4.537,0.5%,4.587,0.5%,4.637,0.5%,4.687,0.5%,4.747,0.5%,,,,,
Feckenham,214.13411,,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,,,,,
Walpole,113.27725,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,
Bramford,119.24258,,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,,,,,
Pelham,75.1926,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,
Sundon/East Claydon,106.11918,,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.1%,1.282,0.1%,1.282,0.1%,1.282,0.1%,1.282,0.1%,1.282,0.1%,1.282,0.1%,1.282,0.1%,1.282,0.1%,1.282,0.1%,,,,,
Melksham,233.18009,,19.63,3.4%,19.96,3.4%,20.36,3.4%,20.77,3.4%,21.2,3.4%,21.63,3.4%,22.15,3.4%,22.69,3.4%,23.25,3.4%,23.83,3.5%,24.41,3.5%,24.93,3.5%,25.45,3.5%,25.99,3.5%,26.54,3.5%,27.11,3.5%,27.58,3.5%,28.06,3.5%,28.56,3.5%,29.06,3.5%,29.57,3.5%,29.97,3.5%,30.38,3.5%,30.79,3.5%,31.2,3.5%,31.63,3.5%,32.06,3.5%,32.5,3.5%,32.95,3.5%,33.39,3.5%,33.85,3.5%,,,,,
Bramley,76.73228,,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,0.422,0.0%,,,,,
London,142.44145,,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.5%,3.876,0.4%,3.876,0.4%,3.876,0.4%,3.876,0.4%,3.876,0.4%,3.876,0.4%,3.876,0.4%,3.876,0.4%,3.876,0.4%,,,,,
Kemsley,65.51442,,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,,,,,
Sellindge,47.47516,,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,,,,,
Lovedean,122.52657,,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,,,,,
S.W.Penisula,299.57007,,11.703,2.0%,11.803,2.0%,11.913,2.0%,12.043,2.0%,12.153,2.0%,12.283,1.9%,12.443,1.9%,12.593,1.9%,12.763,1.9%,12.933,1.9%,13.103,1.9%,13.253,1.8%,13.413,1.8%,13.573,1.8%,13.723,1.8%,13.893,1.8%,14.033,1.8%,14.173,1.8%,14.323,1.8%,14.463,1.7%,14.613,1.7%,14.733,1.7%,14.853,1.7%,14.973,1.7%,15.093,1.7%,15.223,1.7%,15.353,1.7%,15.473,1.7%,15.603,1.7%,15.733,1.7%,15.873,1.7%,,,,,
," 2,900.02 ",, 576.14 ,100%, 585.00 ,100%, 595.94 ,100%, 607.18 ,100%, 618.59 ,100%, 630.37 ,100%, 644.56 ,100%, 659.24 ,100%, 674.27 ,100%, 689.81 ,100%, 705.75 ,100%, 719.66 ,100%, 733.91 ,100%, 748.53 ,100%, 763.52 ,100%, 778.82 ,100%, 795.67 ,100%, 804.69 ,100%, 818.05 ,100%, 831.62 ,100%, 845.45 ,100%, 856.33 ,100%, 867.35 ,100%, 878.54 ,100%, 889.88 ,100%, 901.41 ,100%, 913.13 ,100%, 924.93 ,100%, 936.95 ,100%, 949.14 ,100%, 961.52 ,100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
