station_name,latitude,longitude,easting,northing
Didcot B,51.6257244,-1.2677599,450784.6745465729,192132.3295361109
Great Yarmouth,52.5849566,1.7332677,652994.6566499264,305119.2219612116
Little Barford,52.2044176,-0.2674173,518496.1403983353,257657.7796436824
Pembroke,51.683345,-4.9927124,193214.53996353204,202528.72983989675
Staythorpe C,53.0723466,-0.859674,476497.8472034042,353397.8364973138
Seabank,51.539156,-2.6703691,353603.2465085394,182463.75255440568
Lerwick,60.1668136,-1.164325,446477.9459960814,1142777.521855731
Arnish,58.1877935,-6.3875509,142218.36488786372,930504.862375198
Barra,57.0037052,-7.4094247,71709.68353541923,803301.4613490374
Kirkwall,58.9824907,-2.96448,344659.5972747224,1010993.8026737171
Stornoway,58.2035348,-6.3728857,143193.3341909216,932199.1616504388
Tiree,56.4974905,-6.8819389,99678.9239044736,744618.2565591907
Chickerell,50.6234425,-2.4895072,365469.545399029,80529.86385714542
Peterhead,57.4779536,-1.7899402,412696.1147330972,843097.2995372493
Keadby,53.5946852,-0.7492327,482879.5660294763,411628.1447305118
Medway,51.4404612,0.6894344,587010.9948970941,174704.87574499304
Indian Queens,50.3959511,-4.8996429,194009.3783911474,59139.03743511264
Saltend*,53.7335706,-0.2428178,516012.2505131152,427786.1111760661
Ratcliffe,52.8658195,-1.2539262,450322.65949114994,330075.84237536456
Killingholme,53.6541871,-0.2555979,515385.9718632045,418934.5043858642
Connahs Quay,53.2327995,-3.0831461,327797.66564272874,371188.11367680016
Steven's Croft *,55.1527765,-3.3805594,312121.9764788843,585141.3444384346
Cottam,53.3034527,-0.7761365,481654.9198799041,379198.7107433113
Saltend *,53.7335706,-0.2428178,516012.2505131152,427786.1111760661
Aberthaw B,51.3874197,-3.4062785,302241.924238412,166313.89562429715
Five Oaks,51.0501648,-0.4221568,510693.9625011061,129052.62568022558
Knapton,54.1814332,-0.6420203,488725.1771226073,477035.1422375743
Ballylumford B,54.8449981,-5.7872397,156953.23907367152,556595.8475232043
Drax,53.7381373,-1.0000834,466053.2266015037,427325.1403868974
Ironbridge,52.6317083,-2.517826,365049.6963935377,303898.7219040199
Eggborough,53.7113321,-1.1250071,457850.0237902486,424234.2478687903
Rugeley,52.7565601,-1.9170188,405697.4729375524,317664.3559074752
Wylfa,53.4159869,-4.4826825,235099.50732288303,393892.023681004
Barry,51.4093372,-3.2296221,314574.8542495485,168530.30205407494
Barking,51.5208032,0.1472274,549070.2458894865,182394.6241272692
Peterborough ,52.5765623,-0.2030495,521865.9658448456,299154.6404344273
Roosecote,54.1046051,-3.1891655,322343.4210980092,468289.3421679852
South Humber Bank ,53.6011689,-0.1449459,522852.06593625416,413221.819271137
Coryton ,51.5124945,0.5071753,574071.5916472685,182265.0504985105
Derwent,52.9054821,-1.3996051,440478.8521363556,334396.12460320286
Steven's Croft,55.1527765,-3.3805594,312121.9764788843,585141.3444384346
Rugeley ,52.7565601,-1.9170188,405697.4729375524,317664.3559074752
Saltend ,53.7335706,-0.2428178,516012.2505131152,427786.1111760661
Oldbury,51.6479404,-2.5708753,360598.0851306584,194503.8872550624
Didcot A,51.6239339,-1.2583496,451438.0974445533,191939.7621598896
Cowes ,50.7470311,-1.2861923,450457.0078099671,94401.31820755731
Fawley ,50.8192183,-1.3286747,447386.9668047301,102400.58815123732
Cockenzie,55.9683763,-2.9710023,339489.0129454181,675467.1805790676
London Heat & Power Company ,51.5074456,-0.1277653,530031.0252455334,180385.22672592348
Barkantine Heat & Power Company ,51.5074456,-0.1277653,530031.0252455334,180385.22672592348
Grain ,51.4555287,0.7160768,588800.1734569989,176448.53051328933
Shotton ,53.2107285,-3.0371565,330831.74903566367,368687.3293273811
Deeside ,57.0749482,-2.7650694,353715.24431967374,798473.9957865744
Tilbury B ,51.4616124,0.3636802,564298.3738520681,176275.79626789928
Littlebrook D ,51.4130679,-0.9423428,473652.2976956788,168758.0033626862
FM2,55.7219368,-4.889448,218620.78772329487,651396.3465206532
EP Ballylumford,54.8448834,-5.7851166,157088.78740737608,556575.721246586
Carrington Power,53.4374684,-2.4095733,372888.692719434,393488.276106522
Marchwood Power,50.8978914,-1.4372308,439673.31409662345,111085.47953515634
Croydon,51.3764641,-0.1161952,531208.4947052863,165840.40656657043
Derby,52.8837367,-1.4638407,436176.5435589752,331942.9639419449
Exeter,50.7068457,-3.5244672,292451.74904918304,90798.66682881115
Heartlands,52.5101016,-1.8085651,413089.62333278,290262.7407480013
Staythorpe,53.0728881,-0.8592585,476524.72561223526,353458.516041313
Keadby 2,53.5953064,-0.7522052,482681.6289223544,411693.8001619193
Loch Carnan,57.3646057,-7.2706878,83231.66856800485,842747.6850592538
Taylors Lane,51.5458746,-0.2576474,520916.0054973961,184436.18037993927
Runcorn Energy from Waste,53.3305959,-2.7564116,349721.8351591858,381787.1645725303
Rocksavage Power Company Ltd ,52.9559076,-1.1557387,456814.7279432454,340170.3624567246
Spalding Expansion OCGT ,53.1188177,-1.2597069,449643.2146236904,358215.9349163774
Wilton International ,54.5894624,-1.1123382,457459.5550616092,521947.4952324799
