,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
Kemsley,65.51442,,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,,,,,
Sellindge,47.47516,,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,,,,,
Lovedean,122.52657,,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,,,,,
S.W.Penisula,299.57007,,11.703,2.0%,11.743,2.0%,11.793,2.0%,11.833,2.0%,11.883,2.0%,11.923,2.0%,11.973,2.0%,12.013,2.0%,12.053,2.0%,12.103,2.0%,12.143,2.0%,12.193,2.0%,12.243,2.0%,12.283,2.0%,12.323,1.9%,12.373,1.9%,12.413,1.9%,12.463,1.9%,12.513,1.9%,12.553,1.9%,12.593,1.9%,12.653,1.9%,12.693,1.9%,12.733,1.9%,12.793,1.9%,12.833,1.9%,12.873,1.9%,12.933,1.9%,12.973,1.9%,13.023,1.9%,13.073,1.9%,,,,,
," 2,900.02 ",, 576.14 ,100%, 580.25 ,100%, 584.35 ,100%, 588.45 ,100%, 592.59 ,100%, 596.63 ,100%, 600.74 ,100%, 604.84 ,100%, 608.98 ,100%, 613.09 ,100%, 617.19 ,100%, 621.33 ,100%, 625.49 ,100%, 629.58 ,100%, 633.76 ,100%, 637.96 ,100%, 643.42 ,100%, 646.35 ,100%, 650.61 ,100%, 654.83 ,100%, 659.05 ,100%, 663.38 ,100%, 667.69 ,100%, 672.01 ,100%, 676.39 ,100%, 680.71 ,100%, 685.10 ,100%, 689.51 ,100%, 693.96 ,100%, 698.43 ,100%, 702.90 ,100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
