name,bus0,bus1,r,x,b,s_nom,s_max_pu,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
46,Daines,Th. Marsh/Stocksbridge,0.00082,0.01201,1.2125,1040.0,4.0,0,AC,7.50625e-08,5.1249999999999996e-09,1040.0,400.0
47,Th. Marsh/Stocksbridge,Keadby,0.0005,0.016,0.2795,2580.0,4.0,0,AC,1e-07,3.125e-09,2580.0,400.0
48,Th. Marsh/Stocksbridge,Keadby,0.005,0.018,0.1466,625.0,4.0,0,AC,1.125e-07,3.125e-08,625.0,400.0
49,Thornton/Drax/Eggborough,Keadby,0.00033,0.0052,0.3534,2770.0,4.0,0,AC,3.25e-08,2.0625e-09,2770.0,400.0
50,Thornton/Drax/Eggborough,Keadby,0.00016,0.00172,0.3992,5540.0,4.0,0,AC,1.075e-08,1e-09,5540.0,400.0
51,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00019,0.00222,0.7592,5000.0,4.0,0,AC,1.3875000000000002e-08,1.1875e-09,5000.0,400.0
52,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00018,0.00222,0.5573,5000.0,4.0,0,AC,1.3875000000000002e-08,1.1250000000000001e-09,5000.0,400.0
53,Keadby,Feckenham,0.00056,0.0141,0.4496,2780.0,4.0,0,AC,8.8125e-08,3.4999999999999995e-09,2780.0,400.0
54,Keadby,Feckenham,0.00056,0.0141,0.4496,3820.0,4.0,0,AC,8.8125e-08,3.4999999999999995e-09,3820.0,400.0
55,Ratcliffe,Keadby,0.001,0.01072,0.2651,2150.0,4.0,0,AC,6.7e-08,6.25e-09,2150.0,400.0
56,Ratcliffe,Keadby,0.001,0.01072,0.4573,1890.0,4.0,0,AC,6.7e-08,6.25e-09,1890.0,400.0
57,Ratcliffe,Sundon/East Claydon,0.00068,0.0097,0.4566,2100.0,4.0,0,AC,6.0625e-08,4.25e-09,2100.0,400.0
58,Ratcliffe,Sundon/East Claydon,0.00069,0.0097,0.4574,2100.0,4.0,0,AC,6.0625e-08,4.3125e-09,2100.0,400.0
59,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,3100.0,4.0,0,AC,1.125e-08,2.625e-09,3100.0,400.0
60,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,3460.0,4.0,0,AC,1.125e-08,2.625e-09,3460.0,400.0
61,Feckenham,Melksham,0.00138,0.0096,0.4829,1970.0,4.0,0,AC,6e-08,8.625e-09,1970.0,400.0
62,Feckenham,Melksham,0.00117,0.0096,0.4122,1970.0,4.0,0,AC,6e-08,7.3125e-09,1970.0,400.0
63,Bramford,Kemsley,0.00035,0.0023,0.2249,2780.0,4.0,0,AC,1.4375e-08,2.1875e-09,2780.0,400.0
64,Bramford,Kemsley,0.00035,0.0023,0.2249,2780.0,4.0,0,AC,1.4375e-08,2.1875e-09,2780.0,400.0
65,Bramford,Walpole,0.00178,0.0213,0.6682,1590.0,4.0,0,AC,1.33125e-07,1.1124999999999999e-08,1590.0,400.0
66,Bramford,Walpole,0.00132,0.0143,0.3656,1590.0,4.0,0,AC,8.9375e-08,8.25e-09,1590.0,400.0
67,Pelham,Keadby,0.00145,0.01824,0.9169,2780.0,4.0,0,AC,1.14e-07,9.0625e-09,2780.0,400.0
68,Pelham,Keadby,0.00145,0.01824,0.9169,2780.0,4.0,0,AC,1.14e-07,9.0625e-09,2780.0,400.0
69,Pelham,London,0.00025,0.01,0.1586,2780.0,4.0,0,AC,6.25e-08,1.5625e-09,2780.0,400.0
70,Pelham,London,0.00025,0.01,0.1586,2780.0,4.0,0,AC,6.25e-08,1.5625e-09,2780.0,400.0
71,Pelham,Bramford,0.0012,0.0048,0.4446,2780.0,4.0,0,AC,3e-08,7.5e-09,2780.0,400.0
72,Pelham,Bramford,0.0012,0.0048,0.7,2780.0,4.0,0,AC,3e-08,7.5e-09,2780.0,400.0
73,Pelham,Walpole,0.00037,0.0059,0.294,3030.0,4.0,0,AC,3.6875e-08,2.3125e-09,3030.0,400.0
74,Pelham,Walpole,0.00037,0.0059,0.2955,2780.0,4.0,0,AC,3.6875e-08,2.3125e-09,2780.0,400.0
75,Sundon/East Claydon,Keadby,0.00178,0.0172,0.8403,2010.0,4.0,0,AC,1.075e-07,1.1124999999999999e-08,2010.0,400.0
76,Sundon/East Claydon,Keadby,0.00178,0.0172,0.627,2010.0,4.0,0,AC,1.075e-07,1.1124999999999999e-08,2010.0,400.0
77,Sundon/East Claydon,London,0.00037,0.0041,0.4098,3275.0,4.0,0,AC,2.5625000000000003e-08,2.3125e-09,3275.0,400.0
78,Sundon/East Claydon,London,0.00034,0.0041,0.429,3275.0,4.0,0,AC,2.5625000000000003e-08,2.125e-09,3275.0,400.0
79,Sundon/East Claydon,Pelham,0.00019,0.00111,0.1232,2780.0,4.0,0,AC,6.937500000000001e-09,1.1875e-09,2780.0,400.0
80,Sundon/East Claydon,Pelham,0.00048,0.0061,0.3041,2780.0,4.0,0,AC,3.8125000000000006e-08,3e-09,2780.0,400.0
81,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2010.0,4.0,0,AC,1.1375000000000001e-07,9.437500000000001e-09,2010.0,400.0
82,Melksham,Bramley,0.00086,0.0008,0.9622,2780.0,4.0,0,AC,5e-09,5.375e-09,2780.0,400.0
83,Melksham,Bramley,0.00023,0.0007,2.8447,4400.0,4.0,0,AC,4.375e-09,1.4375e-09,4400.0,400.0
84,Melksham,Sundon/East Claydon,0.00055,0.003,0.3468,2780.0,4.0,0,AC,1.875e-08,3.4375e-09,2780.0,400.0
85,Melksham,Sundon/East Claydon,0.00039,0.003,0.2466,2770.0,4.0,0,AC,1.875e-08,2.4375e-09,2770.0,400.0
86,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2010.0,4.0,0,AC,1.1375000000000001e-07,9.437500000000001e-09,2010.0,400.0
87,Bramley,Lovedean,0.00068,0.007,0.2388,2210.0,4.0,0,AC,4.375e-08,4.25e-09,2210.0,400.0
88,Bramley,London,0.00104,0.0091,0.2918,1390.0,4.0,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,1390.0,400.0
89,Bramley,London,0.00104,0.0091,0.2918,1390.0,4.0,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,1390.0,400.0
90,Bramley,Lovedean,0.00068,0.007,0.2388,2210.0,4.0,0,AC,4.375e-08,4.25e-09,2210.0,400.0
91,London,Kemsley,0.0002,0.0057,0.532,6960.0,4.0,0,AC,3.5625e-08,1.25e-09,6960.0,400.0
92,London,Kemsley,0.0002,0.0057,0.532,5540.0,4.0,0,AC,3.5625e-08,1.25e-09,5540.0,400.0
93,Sellindge,Kemsley,0.0002,0.00503,0.1797,3100.0,4.0,0,AC,3.14375e-08,1.25e-09,3100.0,400.0
94,Sellindge,Kemsley,0.0002,0.00503,0.1797,3100.0,4.0,0,AC,3.14375e-08,1.25e-09,3100.0,400.0
95,Lovedean,Sellindge,0.00038,0.00711,0.2998,3070.0,4.0,0,AC,4.44375e-08,2.375e-09,3070.0,400.0
96,Lovedean,Sellindge,0.00038,0.00711,0.2998,3070.0,4.0,0,AC,4.44375e-08,2.375e-09,3070.0,400.0
97,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,2780.0,4.0,0,AC,4.975e-08,3.1875000000000004e-09,2780.0,400.0
98,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,2780.0,4.0,0,AC,4.975e-08,3.1875000000000004e-09,2780.0,400.0
